Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
5.13663567244e-05 Kudat Airport, Malaysia
5.12390943034e-05 Canouan, Saint Vincent and the Grenadines
5.11466279624e-05 Leon Airport, Spain
5.11423053416e-05 Iliamna, United States
5.11423053416e-05 Adak Airport, United States
5.10058493543e-05 Zhongwei Xiangshan Airport, China
5.07969284084e-05 Magnitogorsk, Russia
5.06666268931e-05 Bata, Equatorial Guinea
5.05645744883e-05 Larsen Bay Airport, United States
5.05645744883e-05 Amook Bay Seaplane Base, United States
5.05645744883e-05 Port Bailey Seaplane Base, United States
5.04348514342e-05 Dakhla Airport, Western Sahara
5.03420948985e-05 Kisumu, Kenya
5.02599176031e-05 Kaukura, French Polynesia
5.01318762569e-05 Zafer, Turkey
5.00497485375e-05 Aqaba King Hussein Intl, Jordan
5.0012192849e-05 Faisalabad Intl, Pakistan
5.0012192849e-05 Dera Ghazi Khan Airport, Pakistan
4.9943060178e-05 Debrecen, Hungary
4.9759115882e-05 Monrovia Spriggs Payne, Liberia
4.97104707847e-05 Dimapur Airport, India
4.95984430995e-05 La Garenne, France
4.94402347442e-05 Rotuma Airport, Fiji
4.86094387877e-05 Colima, Mexico
4.85675932943e-05 Sanandaj, Iran
4.85675932943e-05 Sabzevar National Airport, Iran
4.85675932943e-05 Bojnourd Airport, Iran
4.85675932943e-05 Bam Airport, Iran
4.85675932943e-05 Khoram Abad Airport, Iran
4.85675932943e-05 Ilam Airport, Iran
4.85675932943e-05 Sahand Airport, Iran
4.83617985361e-05 Kugaaruk, Canada
4.83617985361e-05 Brandon Muni, Canada
4.83617985361e-05 Dawson City, Canada
4.83617985361e-05 St Jean, Canada
4.83617985361e-05 Buttonville Muni, Canada
4.83617985361e-05 Meadow Lake, Canada
4.83617985361e-05 Cold Lake, Canada
4.83617985361e-05 Southport, Canada
4.83617985361e-05 Muskoka, Canada
4.83617985361e-05 Riviere Du Loup, Canada
4.83617985361e-05 Summerside, Canada
4.83617985361e-05 Timiskaming Rgnl, Canada
4.83617985361e-05 Armstrong, Canada
4.83617985361e-05 Gore Bay Manitoulin, Canada
4.83617985361e-05 Whitecourt, Canada
4.83617985361e-05 Teslin, Canada
4.83617985361e-05 Greenwood, Canada
4.83617985361e-05 Fort Mcpherson, Canada
4.83617985361e-05 Boufarik, Algeria
4.83617985361e-05 Hassi R Mel, Algeria
4.83617985361e-05 Bouake, Cote d'Ivoire
4.83617985361e-05 Daloa, Cote d'Ivoire
4.83617985361e-05 Korhogo, Cote d'Ivoire
4.83617985361e-05 Man, Cote d'Ivoire
4.83617985361e-05 Manu Dayak, Niger
4.83617985361e-05 Tempelhof, Germany
4.83617985361e-05 Arnsberg Menden, Germany
4.83617985361e-05 Borkum, Germany
4.83617985361e-05 Flensburg Schaferhaus, Germany
4.83617985361e-05 Lasham, United Kingdom
4.83617985361e-05 Shoreham, United Kingdom
4.83617985361e-05 Carlisle, United Kingdom
4.83617985361e-05 Northolt, United Kingdom
4.83617985361e-05 Honington, United Kingdom
4.83617985361e-05 Marham, United Kingdom
4.83617985361e-05 De Kooy, Netherlands
4.83617985361e-05 Odense, Denmark
4.83617985361e-05 Skrydstrup, Denmark
4.83617985361e-05 Thisted, Denmark
4.83617985361e-05 Notodden, Norway
4.83617985361e-05 Orland, Norway
4.83617985361e-05 Landskrona, Sweden
4.83617985361e-05 Oskarshamn, Sweden
4.83617985361e-05 Orebro, Sweden
4.83617985361e-05 Kleinsee, South Africa
4.83617985361e-05 Miandrivazo, Madagascar
4.83617985361e-05 Andapa, Madagascar
4.83617985361e-05 Ambilobe, Madagascar
4.83617985361e-05 Analalava, Madagascar
4.83617985361e-05 Uige, Angola
4.83617985361e-05 Makokou, Gabon
4.83617985361e-05 Mocimboa Da Praia, Mozambique
4.83617985361e-05 Buffalo Range, Zimbabwe
4.83617985361e-05 Mbandaka, Congo (Kinshasa)
4.83617985361e-05 Matari, Congo (Kinshasa)
4.83617985361e-05 Bukavu Kavumu, Congo (Kinshasa)
4.83617985361e-05 Kolwezi, Congo (Kinshasa)
4.83617985361e-05 Kalemie, Congo (Kinshasa)
4.83617985361e-05 Tombouctou, Mali
4.83617985361e-05 Plage Blanche, Morocco
4.83617985361e-05 Kenitra, Morocco
4.83617985361e-05 Bakel, Senegal
4.83617985361e-05 Kiffa, Mauritania
4.83617985361e-05 Dongola, Sudan
4.83617985361e-05 El Obeid, Sudan
4.83617985361e-05 Malakal, Sudan
4.83617985361e-05 Soroti, Uganda
4.83617985361e-05 Gorna Oryahovitsa, Bulgaria
4.83617985361e-05 Alexion, Greece
4.83617985361e-05 Souche, France
4.83617985361e-05 Le Sequestre, France
4.83617985361e-05 Ceyzeriat, France
4.83617985361e-05 Montbeugny, France
4.83617985361e-05 Annemasse, France
4.83617985361e-05 Le Bourget, France
4.83617985361e-05 Arnage, France
4.83617985361e-05 Montichiari, Italy
4.83617985361e-05 Mahanaim I Ben Yaakov, Israel
4.83617985361e-05 Aurel Vlaicu, Romania
4.83617985361e-05 Samedan, Switzerland
4.83617985361e-05 Balikesir, Turkey
4.83617985361e-05 Cigli, Turkey
4.83617985361e-05 Clow International Airport, United States
4.83617985361e-05 Boscobel, Jamaica
4.83617985361e-05 General Jose Maria Yanez Intl, Mexico
4.83617985361e-05 Zamora, Mexico
4.83617985361e-05 Glentanner, New Zealand
4.83617985361e-05 Alexandra, New Zealand
4.83617985361e-05 Mount Cook, New Zealand
4.83617985361e-05 Konduz, Afghanistan
4.83617985361e-05 Sabadell Airport, Spain
4.83617985361e-05 King Hussein, Jordan
4.83617985361e-05 Lanyu, Taiwan
4.83617985361e-05 Iwo Jima, Japan
4.83617985361e-05 Sazena, Czech Republic
4.83617985361e-05 Yokota Ab, Japan
4.83617985361e-05 Macomb Municipal Airport, United States
4.83617985361e-05 Osan Ab, South Korea
4.83617985361e-05 Yecheon, South Korea
4.83617985361e-05 Gardermoen Airport, Norway
4.83617985361e-05 Malargue, Argentina
4.83617985361e-05 Rio Cuarto Area De Material, Argentina
4.83617985361e-05 Villa Gesell, Argentina
4.83617985361e-05 Comandante Gustavo Kraemer, Brazil
4.83617985361e-05 Carolina, Brazil
4.83617985361e-05 Santa Cruz, Brazil
4.83617985361e-05 Base Aerea De Santos, Brazil
4.83617985361e-05 Reales Tamarindos, Ecuador
4.83617985361e-05 Aguas Claras, Colombia
4.83617985361e-05 La Fria, Venezuela
4.83617985361e-05 Sub Teniente Nestor Arias, Venezuela
4.83617985361e-05 Santa Barbara Del Zulia, Venezuela
4.83617985361e-05 Diego Jimenez Torres, Puerto Rico
4.83617985361e-05 Vitebsk, Belarus
4.83617985361e-05 Minsk 1, Belarus
4.83617985361e-05 Great Barrier Island, New Zealand
4.83617985361e-05 Nasik Road, India
4.83617985361e-05 Kota, India
4.83617985361e-05 Kyaukpyu, Burma
4.83617985361e-05 Mong Hsat, Burma
4.83617985361e-05 Paya Lebar, Singapore
4.83617985361e-05 Sydney Bankstown, Australia
4.83617985361e-05 Sparrevohn Lrrs, United States
4.83617985361e-05 Laurence G Hanscom Fld, United States
4.83617985361e-05 Travis Afb, United States
4.83617985361e-05 North Perry, United States
4.83617985361e-05 Bisbee Douglas Intl, United States
4.83617985361e-05 Caribou Muni, United States
4.83617985361e-05 Little Rock Afb, United States
4.83617985361e-05 Laughlin Afb, United States
4.83617985361e-05 Anniston Metro, United States
4.83617985361e-05 Tipton, United States
4.83617985361e-05 Maxwell Afb, United States
4.83617985361e-05 Robinson Aaf, United States
4.83617985361e-05 Butts Aaf, United States
4.83617985361e-05 Hurlburt Fld, United States
4.83617985361e-05 Houlton Intl, United States
4.83617985361e-05 Edwards Afb, United States
4.83617985361e-05 Lemoore Nas, United States
4.83617985361e-05 Gray Aaf, United States
4.83617985361e-05 Albert Whitted, United States
4.83617985361e-05 Millinocket Muni, United States
4.83617985361e-05 Pensacola Nas, United States
4.83617985361e-05 Whidbey Island Nas, United States
4.83617985361e-05 Moody Afb, United States
4.83617985361e-05 Tonopah Test Range, United States
4.83617985361e-05 Terre Haute Intl Hulman Fld, United States
4.83617985361e-05 Menominee Marinette Twin Co, United States
4.83617985361e-05 Lone Star Executive, United States
4.83617985361e-05 Coulter Fld, United States
4.83617985361e-05 Greater Kankakee, United States
4.83617985361e-05 Ardmore Muni, United States
4.83617985361e-05 Baudette Intl, United States
4.83617985361e-05 Sacramento Executive, United States
4.83617985361e-05 Roscommon Co, United States
4.83617985361e-05 Mc Chord Afb, United States
4.83617985361e-05 Vero Beach Muni, United States
4.83617985361e-05 Dyess Afb, United States
4.83617985361e-05 Hillsboro Muni, United States
4.83617985361e-05 Dade Collier Training And Transition, United States
4.83617985361e-05 Selfridge Angb, United States
4.83617985361e-05 Northeast Philadelphia, United States
4.83617985361e-05 Princeton Muni, United States
4.83617985361e-05 Hartford Brainard, United States
4.83617985361e-05 Moffett Federal Afld, United States
4.83617985361e-05 Macdill Afb, United States
4.83617985361e-05 Homestead Arb, United States
4.83617985361e-05 Lakehurst Naes, United States
4.83617985361e-05 Nellis Afb, United States
4.83617985361e-05 March Arb, United States
4.83617985361e-05 Norfolk Ns, United States
4.83617985361e-05 Kaneohe Bay Mcaf, United States
4.83617985361e-05 Barksdale Afb, United States
4.83617985361e-05 Forbes Fld, United States
4.83617985361e-05 Columbus Afb, United States
4.83617985361e-05 Assab Intl, Eritrea
4.83617985361e-05 Talkeetna, United States
4.83617985361e-05 Milford Sound Airport, New Zealand
4.83617985361e-05 David Wayne Hooks Field, United States
4.83617985361e-05 Kaikoura, New Zealand
4.83617985361e-05 Mafia, Tanzania
4.83617985361e-05 Santa Elena Airport, Venezuela
4.83617985361e-05 Lukla, Nepal
4.83617985361e-05 Bhojpur, Nepal
4.83617985361e-05 Rukumkot, Nepal
4.83617985361e-05 Hayman Island Airport, Australia
4.83617985361e-05 Las Cruces Intl, United States
4.83617985361e-05 Draughon Miller Central Texas Rgnl, United States
4.83617985361e-05 Lake Tahoe Airport, United States
4.83617985361e-05 Groton New London, United States
4.83617985361e-05 Bowerman Field, United States
4.83617985361e-05 Sedona, United States
4.83617985361e-05 Thangool, Australia
4.83617985361e-05 Egelsbach, Germany
4.83617985361e-05 Renner Fld, United States
4.83617985361e-05 Washington Union Station, United States
4.83617985361e-05 Codrington Airport, Antigua and Barbuda
4.83617985361e-05 Escuela Mariscal Sucre Airport, Venezuela
4.83617985361e-05 Toledo Airport, Brazil
4.83617985361e-05 Okadama Airport, Japan
4.83617985361e-05 Matsu Beigan Airport, Taiwan
4.83617985361e-05 Eniwetok Airport, Marshall Islands
4.83617985361e-05 El Nido Airport, Philippines
4.83617985361e-05 Baimuru Airport, Papua New Guinea
4.83617985361e-05 Lake Murray Airport, Papua New Guinea
4.83617985361e-05 Jacquinot Bay Airport, Papua New Guinea
4.83617985361e-05 Ihu Airport, Papua New Guinea
4.83617985361e-05 Tadji Airport, Papua New Guinea
4.83617985361e-05 EL Real Airport, Panama
4.83617985361e-05 Kamishly Airport, Syria
4.83617985361e-05 Wadi Al Dawasir Airport, Saudi Arabia
4.83617985361e-05 Mountain Airport, Nepal
4.83617985361e-05 Manihiki Island Airport, Cook Islands
4.83617985361e-05 New Bight Airport, Bahamas
4.83617985361e-05 Alberto Delgado Airport, Cuba
4.83617985361e-05 Port-de-Paix Airport, Haiti
4.83617985361e-05 Aur Island Airport, Marshall Islands
4.83617985361e-05 Győr-Pér International Airport, Hungary
4.83617985361e-05 La Môle Airport, France
4.83617985361e-05 Kiwayu (Mkononi) Airport, Kenya
4.83617985361e-05 Gulu Airport, Uganda
4.83617985361e-05 Musoma Airport, Tanzania
4.83617985361e-05 Beica Airport, Ethiopia
4.83617985361e-05 Smara Airport, Western Sahara
4.83617985361e-05 Outer Skerries Airport, United Kingdom
4.83617985361e-05 Ilebo Airport, Congo (Kinshasa)
4.83617985361e-05 Lodja Airport, Congo (Kinshasa)
4.83617985361e-05 Tshikapa Airport, Congo (Kinshasa)
4.83617985361e-05 Mampikony Airport, Madagascar
4.83617985361e-05 Morafenobe Airport, Madagascar
4.83617985361e-05 Ghanzi Airport, Botswana
4.83617985361e-05 Ventspils International Airport, Latvia
4.83617985361e-05 Shilavo Airport, Ethiopia
4.83617985361e-05 Sindal Airport, Denmark
4.83617985361e-05 Fair Isle Airport, United Kingdom
4.83617985361e-05 Seinäjoki Airport, Finland
4.83617985361e-05 Gods River Airport, Canada
4.83617985361e-05 York Landing Airport, Canada
4.83617985361e-05 Nakina Airport, Canada
4.83617985361e-05 Texada Gillies Bay Airport, Canada
4.83617985361e-05 Colville Lake Airport, Canada
4.83617985361e-05 Punta Gorda Airport, Belize
4.83617985361e-05 Thorshofn Airport, Iceland
4.83617985361e-05 Kikori Airport, Papua New Guinea
4.83617985361e-05 Chulman, Russia
4.83617985361e-05 Caballococha Airport, Peru
4.83617985361e-05 Capitán Av. German Quiroga G. Airport, Bolivia
4.83617985361e-05 Sorocaba Airport, Brazil
4.83617985361e-05 Tandag Airport, Philippines
4.83617985361e-05 Subic Bay International Airport, Philippines
4.83617985361e-05 Yeniseysk Airport, Russia
4.83617985361e-05 Battambang Airport, Cambodia
4.83617985361e-05 Barisal Airport, Bangladesh
4.83617985361e-05 Senggeh Airport, Indonesia
4.83617985361e-05 Mali Airport, Indonesia
4.83617985361e-05 Halim Perdanakusuma International Airport, Indonesia
4.83617985361e-05 Coconut Island Airport, Australia
4.83617985361e-05 Cooktown Airport, Australia
4.83617985361e-05 Coonamble Airport, Australia
4.83617985361e-05 Kalbarri Airport, Australia
4.83617985361e-05 Ankang Airport, China
4.83617985361e-05 Inishmore Airport, Ireland
4.83617985361e-05 Tambow, Russia
4.83617985361e-05 Locarno Airport, Switzerland
4.83617985361e-05 Fortman Airport, United States
4.83617985361e-05 Bellona, Solomon Islands
4.83617985361e-05 Wangerooge Airport, Germany
4.83617985361e-05 Hamadan Airport, Iran
4.83617985361e-05 Terre-de-Haut Airport, Guadeloupe
4.83617985361e-05 Jinggangshan, China
4.83617985361e-05 Tapini Airport, Papua New Guinea
4.83617985361e-05 Cherkassy, Ukraine
4.83617985361e-05 Mykolaiv International Airport, Ukraine
4.83617985361e-05 KBWD, United States
4.83617985361e-05 Mexia - Limestone County Airport, United States
4.83617985361e-05 Ankeny Regl Airport, United States
4.83617985361e-05 Berens River, Canada
4.83617985361e-05 Mojave, United States
4.83617985361e-05 Strezhevoy, Russia
4.83617985361e-05 Stamford Amtrak Station, United States
4.83617985361e-05 Cuxhaven Airport, Germany
4.83617985361e-05 Adana-Incirlik Airbase, Turkey
4.83617985361e-05 Grand Canyon Heliport, United States
4.83617985361e-05 Lemhi County Airport, United States
4.83617985361e-05 Astoria Regional Airport, United States
4.83617985361e-05 Ugnu-Kuparuk Airport, United States
4.83617985361e-05 Beaver Airport, United States
4.83617985361e-05 Kake Airport, United States
4.83617985361e-05 Seal Bay Seaplane Base, United States
4.83617985361e-05 ZAPALA, Argentina
4.83617985361e-05 Ingeniero Jacobacci, Argentina
4.83617985361e-05 Minchumina Airport, United States
4.83617985361e-05 Rimouski Airport, Canada
4.83617985361e-05 Fort St. James - Perison Airport, Canada
4.83617985361e-05 Boundary Bay Airport, Canada
4.83617985361e-05 Palo Verde Airport, Mexico
4.83617985361e-05 Carrillo Airport, Costa Rica
4.83617985361e-05 Bochum Railway, Germany
4.83617985361e-05 Jose Aponte de la Torre Airport, Puerto Rico
4.83617985361e-05 Augsburg Railway, Germany
4.83617985361e-05 St. Louis Downtown Airport, United States
4.83617985361e-05 Albina Airstrip, Suriname
4.83617985361e-05 Botopassi Airstrip, Suriname
4.83617985361e-05 Drietabbetje Airstrip, Suriname
4.83617985361e-05 Stoelmans Eiland Airstrip, Suriname
4.83617985361e-05 Kaieteur International Airport, Guyana
4.83617985361e-05 Codela Airport, Costa Rica
4.83617985361e-05 Mabaruma Airport, Guyana
4.83617985361e-05 Mahdia Airport, Guyana
4.83617985361e-05 Labrea Airport, Brazil
4.83617985361e-05 Edinburgh Waverly Station, United Kingdom
4.83617985361e-05 Lucapa Airport, Angola
4.83617985361e-05 Kapanda Airport, Angola
4.83617985361e-05 Mekane Salam Airport, Ethiopia
4.83617985361e-05 Bazaruto Island Airport, Mozambique
4.83617985361e-05 Huesca-Pirineos Airport, Spain
4.83617985361e-05 Hilversum Railway Station, Netherlands
4.83617985361e-05 Colonsay Airport, United Kingdom
4.83617985361e-05 Fulton County Airport Brown Field, United States
4.83617985361e-05 Destin, United States
4.83617985361e-05 Ponta Pelada Airport, Brazil
4.83617985361e-05 Matak Airport, Indonesia
4.83617985361e-05 Mosul International Airport, Iraq
4.83617985361e-05 Exmouth Airport, Australia
4.83617985361e-05 Kuria Airport, Kiribati
4.83617985361e-05 Tinak Airport, Marshall Islands
4.83617985361e-05 Whitianga Airport, New Zealand
4.83617985361e-05 Asau Airport, Samoa
4.83617985361e-05 Batuna Airport, Solomon Islands
4.83617985361e-05 Livermore Municipal, United States
4.83617985361e-05 Orpheus Island, Australia
4.83617985361e-05 Jacqueline Cochran Regional Airport, United States
4.83617985361e-05 Bermuda Dunes Airport, United States
4.83617985361e-05 Garfield County Regional Airport, United States
4.83617985361e-05 Dekalb-Peachtree Airport, United States
4.83617985361e-05 Brown Field Municipal Airport, United States
4.83617985361e-05 Kineshma, Russia
4.83617985361e-05 Gare Montparnasse, France
4.83617985361e-05 Saint-Pierre-des-Corps, France
4.83617985361e-05 Rocky Mount Wilson Regional Airport, United States
4.83617985361e-05 Gillespie, United States
4.83617985361e-05 Cobb County Airport-Mc Collum Field, United States
4.83617985361e-05 Tulip City Airport, United States
4.83617985361e-05 West 30th St. Heliport, United States
4.83617985361e-05 Idlewild Intl, United States
4.83617985361e-05 Dayton-Wright Brothers Airport, United States
4.83617985361e-05 Kaufbeuren BF, Germany
4.83617985361e-05 Nurnberg HBF, Germany
4.83617985361e-05 Fussen BF, Germany
4.83617985361e-05 Aiome, Papua New Guinea
4.83617985361e-05 Essen HBF, Germany
4.83617985361e-05 Bochum HBF, Germany
4.83617985361e-05 Leuterschach BF, Germany
4.83617985361e-05 Gwinnett County Airport-Briscoe Field, United States
4.83617985361e-05 Stafsberg Airport, Norway
4.83617985361e-05 Helsingborg Cruise Port, Sweden
4.83617985361e-05 Frasca Field, United States
4.83617985361e-05 Ustupo, Panama
4.83617985361e-05 Mamitupo, Panama
4.83617985361e-05 Oshawa Airport, Canada
4.83617985361e-05 Sun Island Airport, Maldives
4.83617985361e-05 Herrera International Airport, Dominican Republic
4.83617985361e-05 Cooinda, Australia
4.83617985361e-05 Treuchtlingen BF, Germany
4.83617985361e-05 Hastings Airport, Sierra Leone
4.83617985361e-05 Philip Billard Muni, United States
4.83617985361e-05 Lynden Airport, United States
4.83617985361e-05 Jefferson County Intl, United States
4.83617985361e-05 Train Station, Canada
4.83617985361e-05 Train Station, United States
4.83617985361e-05 Train Station, Canada
4.83617985361e-05 Casa Grande Municipal Airport, United States
4.83617985361e-05 Buckeye Municipal Airport, United States
4.83617985361e-05 Gostomel Antonov, Ukraine
4.83617985361e-05 RADOM, Poland
4.83617985361e-05 Deer Valley Municipal Airport, United States
4.83617985361e-05 Hondo Municipal Airport, United States
4.83617985361e-05 Perry-Foley Airport, United States
4.83617985361e-05 Ye, Burma
4.83617985361e-05 Aransas County Airport, United States
4.83617985361e-05 Crisp County Cordele Airport, United States
4.83617985361e-05 Ormond Beach municipal Airport, United States
